DAUID,CSDUID,CCSUID,CDUID,ERUID,CTUID,CMAUID,adpop2006,Shape_Leng,Shape_Area,TOTALDEPNT,QUINTMATNT,QUINTSOCNT,QUINTMATLO,QUINTSOCLO,TOTALDEPLO,OBJECTID_1,OBJECTID_2,OBJECTID_3,OBJECTID,NGHD_ID,Nghd_Name,FINAL_Shap,NALP,IMI,Shape_Le_1,Shape_Le_2,FINAL_Sha1,OID_,NGHD_NAM_1,NALP_AF,NALP_DD,NALP_SAFE,NALP_UA,IMI_ATTR,IMI_DD,IMI_PA,IMI_S_CR,IMI_S_TR,ERA,JOIN_FID,TARGET_FID,Join_Count
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110082,4711066,4711066,4711,4730,7250010,725,472,1688.174098,135176.9877,3,1,5,1,5,3,40,54,37,142,26,Nutana,6648.987017,1,1,6648.987017,6648.987017,1823436.582,39,Nutana,4.08333,5.3125,4.625,2.16667,5.12588,10,5.39706,8.03412,6.45794,1,40,52,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110083,4711066,4711066,4711,4730,7250010,725,535,1872.263651,168402.3273,3,1,5,1,4,2,56,79,51,156,33,Varsity View,4736.034022,1,1,4736.034022,4736.034022,1265524.55,55,Varsity View,3.5,4.375,4.125,2.83333,5.06576,6,4.67879,8.56121,5.90636,2,56,53,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110084,4711066,4711066,4711,4730,7250010,725,512,1450.410922,87481.40938,5,3,5,4,5,5,40,54,37,142,26,Nutana,6648.987017,1,1,6648.987017,6648.987017,1823436.582,39,Nutana,4.08333,5.3125,4.625,2.16667,5.12588,10,5.39706,8.03412,6.45794,1,40,54,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110085,4711066,4711066,4711,4730,7250010,725,416,1904.604426,180269.2061,4,2,5,3,4,4,56,79,51,156,33,Varsity View,4736.034022,1,1,4736.034022,4736.034022,1265524.55,55,Varsity View,3.5,4.375,4.125,2.83333,5.06576,6,4.67879,8.56121,5.90636,2,56,55,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110086,4711066,4711066,4711,4730,7250010,725,471,2424.970407,233157.3769,2,1,4,1,3,1,23,34,31,136,32,Haultain,4175.95874,1,0,4175.95874,4175.95874,1037674.734,22,Haultain,3.33333,4,3.625,2.33333,4.97583,10,4.74042,8.97542,6.045,2,23,56,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110087,4711066,4711066,4711,4730,7250010,725,525,1961.905326,165790.0297,4,2,5,3,4,4,23,34,31,136,32,Haultain,4175.95874,1,0,4175.95874,4175.95874,1037674.734,22,Haultain,3.33333,4,3.625,2.33333,4.97583,10,4.74042,8.97542,6.045,2,23,57,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47110088,4711066,4711066,4711,4730,7250010,725,509,2140.195872,219842.4933,3,1,5,1,4,2,25,36,47,152,36,Holliston,4923.35711,1,1,4923.35711,4923.35711,1407097.945,24,Holliston,3.25,4.4375,3.5,1.33333,4.74731,8,4.32154,8.42462,5.34346,2,25,58,2
